Career,Skill
Software Development and Engineering,"Web Development, Mobile App Development, Game Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Cryptograph, Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Feature Engineering, Statistical Analysis, Robotics Knowledge, Internet of Things, System Design, Project Management, API Knowledge, Cloud Computing, Network Topologies, Network Security, System Design, Software Quality Assurance, Api testing, Project Management"
Development,"Web Development, Web based project develop"
Development,"Web Development, Game Development"
Artificial Intelligence,"Artificial Intelligence (AI), Machine Learning, Data Engineering, Statistical Analysis, Data Analysis and Visualization, Database Development, Data Structure, Project Management, Communication, Critical Thinking, Research on Artificial Intelligence and Machine learning"
Security,"Cybersecurity, Data Engineering, Network Security"
Artificial Intelligence,"Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cloud Computing"
Development,Web Development
Data Science,"Deep Learning, Machine Learning, Feature Engineering, Statistical Analysis, Data Analysis and Visualization, Critical Thinking"
Software Development and Engineering,"Web Development, Mobile App Development, Game Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, feature engineering, data engineering, statistics, Database Development, Communication, Project Management, Cybersecurity, System Design"
User Experience (UX) and User Interface (UI) Design,Photography
Software Development and Engineering,"Game Development, Systems Software, Project Management, Ux, Social Media, Working With Technology, Research on new idea"
Development,Mobile App Development
Development,Mobile Application Develop
Development,"System Design, Web Development, API Knowledge, Project Management, Web based project develop"
Development,"Mobile App Development, Android App Develop"
Development,"Mobile App Development, Games Development, Problem Solving and Analysis, Directed Work, Adaptability, Android App Develop, Research in Mobile Festivity"
Software Development and Engineering,Database Development
Data Science,"Problem Solving and Analysis, Database Development, Data Analysis and Visualization, Big Data Technologies, DataEngineering, Api testing"
Security,"Statistical Analysis, Cybersecurity, Network Security"
Development,"Web Development, Mobile App Development, UI/UX Knowledge, Video Editing and Animation, Illustration and Design, Interpersonal Skills, Adaptability"
Development,"Mobile App Development, Android App Develop"
Development,"Web Development, Mobile App Development, Game Development, Database Development, Cloud Computing"
Software Development and Engineering,"Web Development, Artificial Intelligence (AI), Deep Learning, Machine Learning, Problem Solving and Analysis, Operating Systems and Networking, Cybersecurity, Operating Systems and Networking,Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Software Quality Assurance, Api testing, Cybersecurity"
Security,"Feature Engineering, Network Security, Operating Systems and Computer Science, Computer Network"
Development,"Web Development, Mobile App Development, Game Development,"
Data Science,"Problem Solving and Analysis, Data Engineer, Data Analyst, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis"
User Experience (UX) and User Interface (UI) Design,"Graphic Design, Photography"
Software Development and Engineering,"Web Development, Mobile App Development, Artificial Intelligence (AI), Deep Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Communication, ProjectManagement, Graphic Design, Search Engine Optimization (SEO), Content Writing and Blogging, Image Managements, Working with New Idea"
Development,Android App Develop
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), Deep Learning, Machine Learning, Research on Artificial Intelligence and Machine learning"
Security,"Network Security, Network Topologies, Collaboratively working with team"
Artificial Intelligence,Internet of Things
Data Science,"Statistical Analysis, Data Analysis and Visualization, Data Structure"
Artificial Intelligence,"Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning"
Development,"Web Development, Mobile App Development, Problem Solving and Analysis"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning"
Security,"Data Analysis and Visualization, Cybersecurity, Cryptograph, Network Security, Problem Solving and Analysis,"
Development,"Web Development, Mobile App Development, Game Development; Communication, Critical Thinking, Adaptability, Web based project develop, Android App Develop, Games Develop"
Software Development and Engineering,"Mobile App Development, Data Technology, Cloud Computing, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Operating Systems and Networking, Big Management, Digital Economy, Project Management, Research on Artificial Intelligence and Machine learning, Interpersonal Skills, Research on Natural Language Processing"
User Experience (UX) and User Interface (UI) Design,"Graphic Design, UI/UX Knowledge"
Artificial Intelligence,"Artificial Intelligence (AI), Deep Learning, Machine Learning, Feature Engineering, Data Engineering, Statistical Analysis, Communication, Research on Artificial Intelligence and Machine learning, Research on Natural Language Processing, Image Processing"
Security,"Data Engineering, Network Security, Cybersecurity, Email Security, Policy Writing, Critical Thinking"
Software Development and Engineering,"System Design, Software Quality Testing, Project Management, Interpersonal Skills, Adaption to new idea"
Security,"Cybersecurity, Arbitration, UCT"
Development,"Game Development, Problemsolving and leadership"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), deep learning, machine learning, Data Engineering, Big data technologies, Statistical Analysis, Data Analysis and visualization, SQL, database development, network security, problem solving, communication"
Security,Network Security
Data Science,"Problem Solving and Analysis, Database Development, Communication, Data Engagement, Data Analysis and Visualization, feature engineering, Statistical Analysis"
Development,"Blockchain, Web Development"
Artificial Intelligence,"Research on Artificial Intelligence and Machine learning, Artificial Intelligence (AI), Deep Learning, Machine Learning"
Development,"Web Development, Mobile App Development, Game Development, Problem Solving and Analysis, Communication, Critical Thinking, Adaptability, Working with new concept"
